address,atomiq_tokens
mtc1qxyk25hn0qlujusqsf66j4r6u56q2rdh8uw39559,8609.4103723494
mtc1qxavgywtzksntrp3jz30y6wr8rr4r49ycy85470c,8609.2379611635
mtc1q97greqhgpqgadn0q5rcv9t6mzqynp0zpc3zdcgg,8596.5629752237
mtc1qxhervcnx3lvqfz2vmtd2yfp82r8fe77tvfvagql,8589.5601093167
mtc1qxf0lxzrmhal4thsdk9nmnfnk5kx4j45vcgcaya2,8586.4311577934
mtc1qxu4nrcfctehez46m4g637vpjtn3wuy06s9h8aca,8566.43392961
mtc1q9wkg2redvfefl4gqnsexw85vp6mx39dnyxlztre,8533.9731322718
mtc1q97ps7t30t56guc9e9fvsmnl3gjtc40c2cknwsnk,8529.1850411292
mtc1q808km0cwqh6me0sm6999rk36erxhvrkpva2th2u,8525.8198886989
mtc1qy5phtcehw95pr5egk9a0828zxx3dz3rfccetgd7,8517.6421994899
mtc1qy2tvcfmeef6zfhzt95yq6ara7eelkaamq2qhrc9,8511.3191503676
mtc1q8yxsp2vl0k62gz5pms08u8r94txhd653vdud9v3,8405.9591206079
mtc1q9hx3qxadj3rk5f366lm684m6cwlk7ptz595y5cm,8402.04859292
mtc1q92v2gdajr5cp67j0pv5kwvjrrz5s2h9mu9gyakx,8334.5254657999
mtc1qxanznwuy2zhde8regytd5etc5r68z6fpue9rpzs,8325.183534406
mtc1q8awgr6zfj5lqws97cl5880924u90r0d8utszq6y,8292.9575133573
mtc1qxucjxs7q2rx9sz2e0lllaqrr62npxefcua0jd68,8249.6378165916
mtc1q90kp2jgsftw6t24fv2xnpalwjdurwv6qgfye62d,8242.5741790233
mtc1q9cg88p3z5sh2a0fktxljjh8e856pxj7vvnvge55,8234.1140223599
mtc1qxpqpsgxzm68ul94kyvrvq6pe57qruznjc0za9cq,8232.7634313366
mtc1qyue2kec45u9whtfzt6rhfad5e0gzmvanq7eqpjn,8173.1440868475
mtc1qxjh83n7n3j6znhu8g5407p9r2qakagxyqlz5elp,8159.277680593
mtc1qy7ja6n3uvdvlssy6gcmezl47nmdcyzumq8670hk,8158.9654400414
mtc1q8cs7uk0xg6dmncjqpkugxl87ewutfyd35fewxs3,8107.0718628277
mtc1qyknjh2wctjeyuu503j8qxw4g9wmsu05aspv65qf,8106.3395139691
mtc1q8d3p7vm9ksswxzedaqx09z3sftk3zelzcq3gh6j,8094.8462120857
mtc1q9prjawawgn3nxe8248z8le5j746wa50hc67ryqd,8054.9218670604
mtc1q95dzvfzqy0evf5jgzznvcpv7stha7uvrygl94sy,7813.2556045285
mtc1qxuxfhgwrfunl9a8cwu6pgj82qldxaxevgprmevx,7759.6986561925
mtc1qyq3x7uzwcg0x54sceznsw3jxz04dxta7cqcmj4x,7687.2159572111
mtc1q8drpnkpq2tkq7nnkxz95ynh8vd330nkgcclzgtk,7642.2965305024
mtc1q8njuztuulhzmhmprhm6z5mg28cxwy96cq2akuck,7620.2561088475
mtc1q8jxspl7m8keg2njxncawkpkjyz8pj973utzds7c,7610.8285706849
mtc1qym48vk8f0p5prxsht8t2t0h4p4hcqe26c4umz5j,7608.9886237688
mtc1q8l7dnvnxxadpdhuc0ugt99dxk3r7lcyevwak7u9,7483.4701932698
mtc1q97l49x8lcq88fchu69n5ugkem2ran9hxcywmzdm,7406.8427862043
mtc1q9wng2ss2h9w48f8wmxp828prpdgh7nkwuwrq286,7368.61217729
mtc1qxlyqvagsq3vvrdzrq8kstavl2m26wy3gusa570t,7307.0573795053
mtc1qxr9fdku8zxasehpkxfyuwqnrd8j38fszs9c87fp,7238.6698515083
mtc1qyajyzqpfym7g8w5umpltru7x6yzkera3ufwl9xz,7225.8445404674
mtc1qyve0s46lkh5t6974clrldma4zjc0xaggcdm4lwm,7158.051311852
mtc1q8uy8gnzw2gj9gaxluyym8dysj5t4q5rggu2xmxu,7147.5587453562
mtc1q8ax20dl9z8kuztwmrjavevyp2w865r3pc5jv373,7100.8680091514
mtc1q94rwdkkturjx3dkdjngf8uylstcxkldk5lcktm5,7016.5469731539
mtc1q8rvfca822uy7hkyl7pqu4xk679zhklduvex3d7l,6903.8015036656
mtc1q8crpx2azc9ekneygt44dh7ct3tjl8qcygfnxctu,6888.3146088963
mtc1q8n094u3ht2zmzq8yhyz0px0ksxd7qr24qcw2zjj,6801.5360037509
mtc1qxsgkst3lxm2z355dv87pp5p2wdwtzpux5vurx6x,6781.4391088926
mtc1qyvph6sejz03qkaejzuspvvj6u4nhwr2mytnfp2f,6699.8060822562
mtc1qxasdavpcnv04yvrh0j2hamc0758zsuzgca0cfua,6474.29081189
mtc1q99sf0s0u2fps9wgr4r9zjftekjsmcscsumhy8cj,6453.2606594073
mtc1q8yu33e0azg55k5zjas27gk9xy0w8ypnuqjzyy22,6438.7177731044
mtc1q96dzhxpkq732fetjttmr3hv08mp0dfwdcgjrczl,6428.7217839703
mtc1qyuvs4hm6ml90sph55dp7pjgqn4zs9ta3cvdmqjm,6384.2439347835
mtc1qy99whyq5xjpt2uunaxup3s9xwdhf7h6lqvpyrjm,6364.5589785478
mtc1qxkff73qd0fry7l825ytjjnlrxk7ganvrqdzra64,6352.4645382884
mtc1q88rg9yqjd46x00fz7h9cnhh4nvv8qz8zvr3rvqy,6346.8217709623
mtc1qxc9ep9sgfqh6e65me0290p6qspg2ty72y52g7wg,6333.4226970207
mtc1qyuhm36pnwd0wthczldt2ym7egxgjdqdz54v8sn0,6170.7718041861
mtc1qxc02sxlnwyr5cmartxnazazhuhqe9jf5qthq5g6,6164.1497767618
mtc1qxch39s8f76k2z2smnpfms26mruutpaktq45ha4d,6101.050030771
mtc1qx00983ku608zuhua4ra2yqn4rgcvj82tcxalx90,5989.4015126029
mtc1qxmug7u4sqq6sc902cucng8x86fz47p30vdcc27f,5953.0103737755
mtc1qxe22g38ncafhxfswvkxvxwhh7pla6wdgywt6pru,5937.136199598
mtc1qymf4nzapu76ljdx8e2rfs8yzj5rc8zfqu2xsjdr,5879.9017200769
mtc1qx2qj88a4wqxlmxg6rr33f28ntrcndkmr50ndrax,5837.9028727299
mtc1q8d09lj8gpux8t5c47f2xtjhw9zudekwp5s49l5a,5791.6357724249
mtc1qxygq6tvk7hlm4x853axsa6wg4940psarglg9mm4,5784.5002005557
mtc1q9gxh73nzex9symuzthx7q8lzs64dc34gg4ynhqy,5617.3087860282
mtc1q8znldex45nucum6jfma80jxa4rfq3d0ucjzcs5c,5456.4462731838
mtc1q9gmjyarljmkafr7cat4f5vx752v89tm4y6qrrwq,5425.7581589726
mtc1q9d3kyvp94v9zy709wel3ajjra6s7wdrjqzcwl73,5416.2583564126
mtc1q8jhu69daspyct977t2lhl0mx8c8srpuvg5fh7tx,5410.1969803886
mtc1q83clld4urr9357gcuccnagrsksndq3la5u4gxva,5357.9442141516
mtc1qyz4lzm79uzkg84vj6l9tx85xx3n5ulaxsrk2l3e,5354.1763900739
mtc1q8adv5w3u9dtgax8ds4rxmrvxkjv5tn0uqhnty3t,5259.6997742422
mtc1qyc687mk2jjv4aaz6cdncl32htcc4zkekv6mtqn5,5231.6771617751
mtc1qx098hrtjtepvvdwhgmnjdqc09zecqzpps452w6n,5219.803148597
mtc1q9g0t6z6t6k4latfadx6qy70ycwdkl6upv4s5yv7,5200.3869579903
mtc1qxhphu522fmmq4ajdjcegrjx7r46zlnw3uzsgwtz,5052.0340063218
mtc1q9k3ul2nfzuqv3336p59t7ck6ppk7pkj7yr7znr9,5036.8776520142
mtc1q8wg2vdefdmrssaeqapqp564987kyddhvuurrfp6,5029.9893904328
mtc1qxqakr6lsl6a8zxulrywkz3jtewqpufvc5m5kcde,5015.8593981292
mtc1qyvlgnyvu8dp4lrdnp666tm9kgmwwevqvyyxv2ur,4974.9473067159
mtc1q870pkx433hv4xwtdvyhxhmam7gdl7uk9gr4y06t,4790.4227421791
mtc1qx248mwkvw4wy2c6ca2pjepawcwe2tx69yrs4fuv,4713.891740234
mtc1q9xhhukt92cdsfd0zvus3ej3p0n509uhqg5r0kjs,4696.5306958651
mtc1q9usvmwxp0gnt5gnn4tctxxwp7ajq30nfcuatjdp,4645.2830221654
mtc1qy5jsehawdmrl8snzfqkv67z0wtwqca4pvgp2reg,4547.450921815
mtc1qyywqp2asul6uasfsxr2c6awh0yyhvws0qs02xvt,4530.2967463643
mtc1qxey9l2utys0dh6hepz4cqvfx8gpeqrgzsuskm8p,4523.3573731639
mtc1qy60kxdwpcpu40klkeed6xtnjfc7ekdzduhle8rn,4513.125067891
mtc1qyqcgfadh0aq0zuyymzdv98zm7cvqa03cvyz8lpy,4499.0924229458
mtc1qx60tl3mwxpta69y3r3lxrsgrwg674pqruwdrsuj,4477.1267743221
mtc1qxhsggx3xpk6xx9wch70lkwfrelej4ya6gsqermy,4467.8174717298
mtc1qycf9wmtw0jrhduf3xqwtrrpjfxtsh0ems6dnsxa,4441.032902659
mtc1q98578flu59rt7qypapqfhaxx2464ccpysswh4hg,4408.5384535632
mtc1qxtd7mkcwuh2hcdh22nv9ddvhsjem3cxny449cu8,4406.2447108374
mtc1q8v6n234y93cgszxhrppu0qx86ushqquhu7m7cmf,4395.7123774113
mtc1q9awvex73am4e6msekd0gynfgamzzxs3mv6ak8de,4395.6328034196
mtc1qxftkf69u83qjuddyp82r02szg6zfdexjcuaafnt,4358.1440368531
mtc1q96glplthka52f4f7x94h45fagkv8v4c9gpanzpt,4343.492121479
mtc1q9k990af8qfpdd3wrd77g5jgj3kangus7ysc3wxt,4297.8381816888
mtc1q8fwhjln4nrc57lhzz2clh3glm955wcqjg35mlp6,4273.5987710151
